Participant;Slope;Emotion
sub004;0.001044734;Happy
sub004;0.001508199;Sad
sub004;0.004655153;Neutral
sub004;0.001044734;Happy
sub004;0.001508199;Sad
sub004;0.004655153;Neutral
sub006;0.001366984;Happy
sub006;-0.000546509;Sad
sub006;0.000551124;Neutral
sub006;0.001366984;Happy
sub006;-0.000546509;Sad
sub006;0.000551124;Neutral
sub007;0.000667481;Happy
sub007;-0.001899589;Sad
sub007;0.002130576;Neutral
sub007;0.000667481;Happy
sub007;-0.001899589;Sad
sub007;0.002130576;Neutral
sub008;-0.000705989;Happy
sub008;0.000425521;Sad
sub008;0.000199911;Neutral
sub008;-0.000705989;Happy
sub008;0.000425521;Sad
sub008;0.000199911;Neutral
sub009;-0.00017127;Happy
sub009;-0.000651532;Sad
sub009;0.00065606;Neutral
sub009;-0.00017127;Happy
sub009;-0.000651532;Sad
sub009;0.00065606;Neutral
sub010;0.001210978;Happy
sub010;-7.66E-05;Sad
sub010;-0.007609194;Neutral
sub010;0.001210978;Happy
sub010;-7.66E-05;Sad
sub010;-0.007609194;Neutral
sub011;0.000440806;Happy
sub011;0.002655065;Sad
sub011;8.76E-05;Neutral
sub011;0.000440806;Happy
sub011;0.002655065;Sad
sub011;8.76E-05;Neutral
sub012;0.00316269;Happy
sub012;0.000734502;Sad
sub012;0.00369332;Neutral
sub012;0.00316269;Happy
sub012;0.000734502;Sad
sub012;0.00369332;Neutral
sub014;-0.001174302;Happy
sub014;-0.000503303;Sad
sub014;-0.00062747;Neutral
sub014;-0.001174302;Happy
sub014;-0.000503303;Sad
sub014;-0.00062747;Neutral
sub015;-0.000396488;Happy
sub015;0.001010507;Sad
sub015;-0.000119036;Neutral
sub015;-0.000396488;Happy
sub015;0.001010507;Sad
sub015;-0.000119036;Neutral
sub017;-0.002143816;Happy
sub017;0.000200341;Sad
sub017;0.001356912;Neutral
sub017;-0.002143816;Happy
sub017;0.000200341;Sad
sub017;0.001356912;Neutral
sub018;0.002650446;Happy
sub018;0.005059936;Sad
sub018;-0.001083651;Neutral
sub018;0.002650446;Happy
sub018;0.005059936;Sad
sub018;-0.001083651;Neutral
sub019;0.001219349;Happy
sub019;-0.001333247;Sad
sub019;-0.002316683;Neutral
sub019;0.001219349;Happy
sub019;-0.001333247;Sad
sub019;-0.002316683;Neutral
sub020;-0.001890787;Happy
sub020;0.000951962;Sad
sub020;0.002558028;Neutral
sub020;-0.001890787;Happy
sub020;0.000951962;Sad
sub020;0.002558028;Neutral
sub021;-0.000288076;Happy
sub021;-0.003461914;Sad
sub021;-0.004588955;Neutral
sub021;-0.000288076;Happy
sub021;-0.003461914;Sad
sub021;-0.004588955;Neutral
sub022;-0.000243296;Happy
sub022;-0.001392386;Sad
sub022;0.000722813;Neutral
sub022;-0.000243296;Happy
sub022;-0.001392386;Sad
sub022;0.000722813;Neutral
sub024;8.13E-05;Happy
sub024;5.66E-05;Sad
sub024;-0.001571889;Neutral
sub024;8.13E-05;Happy
sub024;5.66E-05;Sad
sub024;-0.001571889;Neutral
sub025;-0.001381865;Happy
sub025;-0.002461719;Sad
sub025;-7.50E-05;Neutral
sub025;-0.001381865;Happy
sub025;-0.002461719;Sad
sub025;-7.50E-05;Neutral
sub026;0.000247733;Happy
sub026;-0.001247842;Sad
sub026;0.000144266;Neutral
sub026;0.000247733;Happy
sub026;-0.001247842;Sad
sub026;0.000144266;Neutral
sub027;-0.000286747;Happy
sub027;-0.002641466;Sad
sub027;0.001041444;Neutral
sub027;-0.000286747;Happy
sub027;-0.002641466;Sad
sub027;0.001041444;Neutral
sub031;0.000380118;Happy
sub031;-0.000387196;Sad
sub031;-0.000563349;Neutral
sub031;0.000380118;Happy
sub031;-0.000387196;Sad
sub031;-0.000563349;Neutral
sub032;-0.001762844;Happy
sub032;-0.002189473;Sad
sub032;-0.001637165;Neutral
sub032;-0.001762844;Happy
sub032;-0.002189473;Sad
sub032;-0.001637165;Neutral
sub033;0.00199804;Happy
sub033;-0.000209017;Sad
sub033;-0.000131843;Neutral
sub033;0.00199804;Happy
sub033;-0.000209017;Sad
sub033;-0.000131843;Neutral
sub034;0.000144304;Happy
sub034;-0.002034619;Sad
sub034;-0.000713876;Neutral
sub034;0.000144304;Happy
sub034;-0.002034619;Sad
sub034;-0.000713876;Neutral
sub035;0.001077674;Happy
sub035;-0.000949754;Sad
sub035;-0.000892084;Neutral
sub035;0.001077674;Happy
sub035;-0.000949754;Sad
sub035;-0.000892084;Neutral
sub036;0.000516136;Happy
sub036;-0.000124843;Sad
sub036;0.001734325;Neutral
sub036;0.000516136;Happy
sub036;-0.000124843;Sad
sub036;0.001734325;Neutral
sub037;0.001103884;Happy
sub037;0.001077779;Sad
sub037;-0.000503327;Neutral
sub037;0.001103884;Happy
sub037;0.001077779;Sad
sub037;-0.000503327;Neutral
sub038;0.000409504;Happy
sub038;-0.000649078;Sad
sub038;-0.001000894;Neutral
sub038;0.000409504;Happy
sub038;-0.000649078;Sad
sub038;-0.001000894;Neutral
sub039;0.000638554;Happy
sub039;0.000288068;Sad
sub039;-0.001349846;Neutral
sub039;0.000638554;Happy
sub039;0.000288068;Sad
sub039;-0.001349846;Neutral
sub040;-0.000673601;Happy
sub040;-0.001518996;Sad
sub040;-0.000607258;Neutral
sub040;-0.000673601;Happy
sub040;-0.001518996;Sad
sub040;-0.000607258;Neutral
sub041;-0.002209606;Happy
sub041;-0.001483294;Sad
sub041;-0.000217058;Neutral
sub041;-0.002209606;Happy
sub041;-0.001483294;Sad
sub041;-0.000217058;Neutral
sub042;-0.004665301;Happy
sub042;-0.000553599;Sad
sub042;-0.003595378;Neutral
sub042;-0.004665301;Happy
sub042;-0.000553599;Sad
sub042;-0.003595378;Neutral
sub043;-0.000761465;Happy
sub043;-0.00423451;Sad
sub043;-0.004007259;Neutral
sub043;-0.000761465;Happy
sub043;-0.00423451;Sad
sub043;-0.004007259;Neutral
sub044;-0.002408589;Happy
sub044;-0.003518957;Sad
sub044;-0.001264469;Neutral
sub044;-0.002408589;Happy
sub044;-0.003518957;Sad
sub044;-0.001264469;Neutral
sub045;-0.001610698;Happy
sub045;-0.003913906;Sad
sub045;-0.004286004;Neutral
sub045;-0.001610698;Happy
sub045;-0.003913906;Sad
sub045;-0.004286004;Neutral
sub046;8.13E-05;Happy
sub046;-0.001294437;Sad
sub046;-0.00069899;Neutral
sub046;8.13E-05;Happy
sub046;-0.001294437;Sad
sub046;-0.00069899;Neutral
sub047;-0.004068545;Happy
sub047;-0.001994495;Sad
sub047;0.005679628;Neutral
sub047;-0.004068545;Happy
sub047;-0.001994495;Sad
sub047;0.005679628;Neutral
sub049;-0.000742707;Happy
sub049;0.001438216;Sad
sub049;-0.001500929;Neutral
sub049;-0.000742707;Happy
sub049;0.001438216;Sad
sub049;-0.001500929;Neutral
sub051;0.000485817;Happy
sub051;-0.002486806;Sad
sub051;-0.002349382;Neutral
sub051;0.000485817;Happy
sub051;-0.002486806;Sad
sub051;-0.002349382;Neutral
sub052;0.001081066;Happy
sub052;0.000806854;Sad
sub052;0.000343651;Neutral
sub052;0.001081066;Happy
sub052;0.000806854;Sad
sub052;0.000343651;Neutral
sub053;-9.92E-05;Happy
sub053;-0.002773918;Sad
sub053;-0.002237027;Neutral
sub053;-9.92E-05;Happy
sub053;-0.002773918;Sad
sub053;-0.002237027;Neutral
sub054;0.001698906;Happy
sub054;0.00215404;Sad
sub054;-0.000835573;Neutral
sub054;0.001698906;Happy
sub054;0.00215404;Sad
sub054;-0.000835573;Neutral
sub056;-0.004629951;Happy
sub056;-0.004327692;Sad
sub056;-0.002552296;Neutral
sub056;-0.004629951;Happy
